osmid,oneway,lanes,ref,name,highway,length,geometry,maxspeed
866466952,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,17.463,"LINESTRING (-99.14256469999999 19.4246556, -99.1425258 19.4248083)",
24713393,True,3,EJE 1A SUR,Avenida Arcos de Belén,trunk,100.711,"LINESTRING (-99.14199619999999 19.4269327, -99.14206919999999 19.4269403, -99.14216159999999 19.4269425, -99.1423041 19.4269373, -99.1424784 19.4269168, -99.14256469999999 19.4269173, -99.14295439999999 19.4269307)",
352403336,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,58.39,"LINESTRING (-99.14199619999999 19.4269327, -99.14198140000001 19.4269925, -99.14195770000001 19.4271023, -99.1418929 19.4274486)",
618045930,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,60.51,"LINESTRING (-99.1416607 19.4290345, -99.14157830000001 19.4295731)",
617719001,True,,,Calle Vizcaínas,residential,103.497,"LINESTRING (-99.1416607 19.4290345, -99.1417245 19.4290441, -99.14263529999999 19.4291814)",
618098742,False,,,Calle República de El Salvador,residential,169.894,"LINESTRING (-99.14146390000001 19.4303272, -99.1401312 19.4301282, -99.13986319999999 19.4300912)",
846008895,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,95.89,"LINESTRING (-99.14146390000001 19.4303272, -99.14133579999999 19.4311157, -99.1413268 19.4311798)",
846008895,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,92.66,"LINESTRING (-99.1413268 19.4311798, -99.1412023 19.4320048)",
24836282,True,,,Calle Victoria,residential,106.929,"LINESTRING (-99.1413268 19.4311798, -99.1414205 19.4311952, -99.1423295 19.4313547)",
846008895,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,90.281,"LINESTRING (-99.1412023 19.4320048, -99.14108090000001 19.4328086)",
4780792,True,2,,Calle Venustiano Carranza,residential,278.50300000000004,"LINESTRING (-99.1412023 19.4320048, -99.1397023 19.4317964, -99.1385719 19.4316592)",
361358030,True,,,Calle Independencia,residential,104.734,"LINESTRING (-99.14108090000001 19.4328086, -99.14119169999999 19.4328252, -99.1420662 19.4329629)",
"[618028624, 846008895]",True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,160.693,"LINESTRING (-99.14108090000001 19.4328086, -99.1408797 19.4340756, -99.1408733 19.4341115, -99.14086880000001 19.4341374, -99.1408512 19.4342374)",
438721545,True,1,,Calle 5 de Febrero,residential,100.942,"LINESTRING (-99.134355 19.4319714, -99.1344924 19.4310729)",
519437791,True,1,,16 de Septiembre,residential,96.253,"LINESTRING (-99.134355 19.4319714, -99.1342594 19.4319717, -99.1341103 19.431972, -99.1335553 19.4319014, -99.1335098 19.4318954, -99.1334432 19.4318867)",
856041979,True,1,,16 de Septiembre,residential,110.16499999999999,"LINESTRING (-99.134355 19.4319714, -99.1350075 19.4320496, -99.1353972 19.4320963)",
4780792,True,2,,Calle Venustiano Carranza,residential,110.275,"LINESTRING (-99.13656400000001 19.4313606, -99.1355236 19.4312161)",
618043852,True,2,,Calle Isabel la Católica,tertiary,89.639,"LINESTRING (-99.13656400000001 19.4313606, -99.1364421 19.4321585)",
4780792,True,2,,Calle Venustiano Carranza,residential,109.299,"LINESTRING (-99.1355236 19.4312161, -99.1344924 19.4310729)",
456118088,True,2,,Calle General Gabriel Hernández,residential,195.722,"LINESTRING (-99.1474154 19.4254475, -99.1473383 19.4263002, -99.1473175 19.426531, -99.14731740000001 19.4265991, -99.147322 19.4266922, -99.1473515 19.426804, -99.14739539999999 19.4269216, -99.14741859999999 19.4270318, -99.1474292 19.4271907)",
"[903255028, 617718973]",True,3,EJE 1 SUR,Avenida Doctor Río de la Loza,trunk,102.26599999999999,"LINESTRING (-99.1474154 19.4254475, -99.1465955 19.4253396, -99.14644939999999 19.4253214)",
24836301,False,4,,Avenida Doctor José María Vértiz,secondary,16.841,"LINESTRING (-99.1464708 19.4251713, -99.14644939999999 19.4253214)",
"[904253640, 866466955]",True,3,EJE 1 SUR,Avenida Doctor Río de la Loza,trunk,177.447,"LINESTRING (-99.1464708 19.4251713, -99.1450892 19.4249831, -99.14479590000001 19.4249441)",
866466953,True,4,EJE CENTRAL,Avenida Lázaro Cárdenas,primary,67.741,"LINESTRING (-99.1425258 19.4248083, -99.1423751 19.4254007)",
